Semi_Span: 0.15
VELOCITY        HEIGHT          MACH    
10.0        0.0        0.0
10.0        63568.8        1.295
110.402        254275.2        2.86

Semi_Span: 0.2875
VELOCITY        HEIGHT          MACH    
10.0        0.0        0.0
60.20101        63568.8        1.295
160.603        254275.2        2.86

Semi_Span: 0.42499999999999993
VELOCITY        HEIGHT          MACH    
110.402        0.0        0.0
60.20101        63568.8        1.295
10.0        254275.2        2.86

Semi_Span: 0.5625
VELOCITY        HEIGHT          MACH    
461.809        0.0        0.0
10.0        63568.8        1.295
60.20101        254275.2        2.86

Semi_Span: 0.7
VELOCITY        HEIGHT          MACH    
60.20101        0.0        0.0
10.0        63568.8        1.295
60.20101        254275.2        2.86
