Sweep: 0.0
VELOCITY        HEIGHT          MACH    
411.608        0.0        0.0
411.608        25.943802        0.025
411.608        103.775207        0.051
461.809        233.494215        0.076
461.809        415.100826        0.101
512.0101        648.595041        0.127
461.809        933.97686        0.152
461.809        1271.246281        0.177
562.2111        1660.403306        0.203
612.4121        2101.447934        0.228
512.0101        2594.380165        0.254
612.4121        3139.2        0.279
612.4121        3735.907438        0.304
612.4121        4384.502479        0.33
662.6131        5084.985124        0.355
712.8141        5837.355372        0.381
813.2161        6641.613223        0.407
763.0151        7497.758678        0.432
913.6181        8405.791736        0.458
913.6181        9365.712397        0.483
1064.221        10377.520661        0.509
1064.221        11441.216529        0.535
1164.623        12556.8        0.561
1315.226        13724.271074        0.587
1415.628        14943.629752        0.612
1566.231        16214.876033        0.638
1817.236        17538.009917        0.664
1967.839        18913.031405        0.69
2269.045        20339.940496        0.717
2520.05        21818.73719        0.743
4477.889        23349.421488        0.769
5331.307        24931.993388        0.795
5783.116        26566.452893        0.822
6686.734        28252.8        0.848
7590.352        29991.034711        0.874
8795.176        31781.157025        0.901
10.0        33623.166942        0.928
10.0        35517.064463        0.954
60.20101        37462.849587        0.981
10.0        39460.522314        1.008
10.0        41510.082645        1.035
10.0        43611.530579        1.062
10.0        45764.866116        1.089
10.0        47970.089256        1.116
10.0        50227.2        1.144
10.0        52536.198347        1.171
10.0        54897.084298        1.198
110.402        57309.857851        1.226
10.0        59774.519008        1.254
10.0        62291.067769        1.281
10.0        64859.504132        1.309
10.0        67479.828099        1.337
10.0        70152.039669        1.365
10.0        72876.138843        1.394
10.0        75652.12562        1.422
10.0        78480.0        1.451
10.0        81359.761983        1.479
10.0        84291.41157        1.508
10.0        87274.94876        1.537
10.0        90310.373554        1.566
10.0        93397.68595        1.595
10.0        96536.88595        1.624
10.0        99727.973554        1.653
10.0        102970.94876        1.683
10.0        106265.81157        1.712
10.0        109612.561983        1.742
10.0        113011.2        1.772
10.0        116461.72562        1.802
10.0        119964.138843        1.832
10.0        123518.439669        1.863
10.0        127124.628099        1.893
10.0        130782.704132        1.924
10.0        134492.667769        1.955
10.0        138254.519008        1.986
10.0        142068.257851        2.017
10.0        145933.884298        2.048
10.0        149851.398347        2.08
10.0        153820.8        2.112
10.0        157842.089256        2.144
10.0        161915.266116        2.176
10.0        166040.330579        2.208
10.0        170217.282645        2.24
60.20101        174446.122314        2.273
60.20101        178726.849587        2.306
60.20101        183059.464463        2.339
60.20101        187443.966942        2.372
60.20101        191880.357025        2.406
60.20101        196368.634711        2.439
60.20101        200908.8        2.473
60.20101        205500.852893        2.507
60.20101        210144.793388        2.541
60.20101        214840.621488        2.576
60.20101        219588.33719        2.611
60.20101        224387.940496        2.646
60.20101        229239.431405        2.681
60.20101        234142.809917        2.716
10.0        239098.076033        2.752
10.0        244105.229752        2.788
10.0        249164.271074        2.824
10.0        254275.2        2.86

Sweep: 7.5
VELOCITY        HEIGHT          MACH    
110.402        0.0        0.0
160.603        25.943802        0.025
110.402        103.775207        0.051
261.005        233.494215        0.076
110.402        415.100826        0.101
210.804        648.595041        0.127
110.402        933.97686        0.152
110.402        1271.246281        0.177
110.402        1660.403306        0.203
261.005        2101.447934        0.228
160.603        2594.380165        0.254
160.603        3139.2        0.279
261.005        3735.907438        0.304
160.603        4384.502479        0.33
361.407        5084.985124        0.355
261.005        5837.355372        0.381
