Correlation_Test_Controlled: Base_Wing
VELOCITY        HEIGHT          MACH    
411.608        0.0        0.0
562.2111        105.903873        0.051
210.804        423.615494        0.102
261.005        953.13486        0.154
261.005        1694.461974        0.205
261.005        2647.596835        0.256
261.005        3812.539442        0.308
311.206        5189.289796        0.359
361.407        6777.847897        0.411
411.608        8578.213744        0.462
512.0101        10590.387339        0.514
662.6131        12814.36868        0.566
863.4171        15250.157768        0.619
1014.02        17897.754602        0.671
1214.824        20757.159184        0.724
2771.055        23828.371512        0.777
3423.668        27111.391587        0.83
4628.492        30606.219409        0.884
5983.92        34312.854977        0.937
8092.362        38231.298292        0.991
60.20101        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
60.20101        56023.149021        1.211
60.20101        61000.63107        1.267
60.20101        66189.920866        1.324
60.20101        71591.018409        1.38
60.20101        77203.923698        1.438
60.20101        83028.636735        1.495
60.20101        89065.157518        1.554
60.20101        95313.486047        1.613
60.20101        101773.622324        1.672
60.20101        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
60.20101        178024.411162        2.3
60.20101        186814.432653        2.367
60.20101        195816.261891        2.435
60.20101        205029.898875        2.504
60.20101        214455.343607        2.573
60.20101        224092.596085        2.643
60.20101        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86
